X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_street,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,hidden,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,health_amenity_type,addr_city,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type
-7.91385430513157,11.9926199862493,5031440508,node,12,,doctors,,,,,68404386,,,,25b92d9016a14281b605933c7f419de9,,,,own survey,,0,2,,2019/03/22 10:01:37,,,,,Centre de Santé Communautaire de Ouélessébougou,,Jean-Marc Liotier,,,,,,
-7.92563507004192,12.2654397866159,2163839014,node,15,,clinic,,,,,26850038,,,,2bcab9a12653449981ec155c5ed91a0f,,,,OMS Survey,,0,2,,2014/11/17 18:59:47,,,,,Centre de Santé Communautaire de Dialakoroba,,jgc,no,,,,,
-8.02421580673206,12.6405163749475,6136483053,node,12,,clinic,,,,,71225653,,,,55b4e132918c467d8e0aab8f549c898f,,,,,,0,2,,2019/06/13 16:50:55,,,,,Laboratoires PA et KA,,mapman44,,,,,clinic,
-7.99434295527877,12.5535249604993,4141126153,node,12,,pharmacy,,,,,38791643,,,,cb96067cb5ac4b189c9ba658f69ccc91,,,,,,0,1,,2016/04/22 16:44:06,,,,,Pharmacie Safari,,Abdou7,,,,no,,
,,800296203,way,15,,pharmacy,,,,,92452531,,,,412c9fdf02744806860e66efa83a23bb,,,,,,0,2,,2020/10/14 06:36:26,,,,,Danaya,,Greg_Rose,,,,no,pharmacy,
,,244152652,way,9,,hospital,,,,,85578945,,,,3f89078b65c94efebcb573c27dc5fe85,,,,,,0,3,,2020/05/22 02:15:29,,,,,CSCOM,,Kathyaus,,,,,,
-7.99499883920208,12.6554696902091,2163838759,node,18,,clinic,,,,,93782155,,,,a355c9135ecb4b54b265fe89216f65a3,,,,OMS Survey,,0,3,,2020/11/09 08:34:39,,,,,Centre de Santé Communautaire ASACODES,,Greg_Rose,no,,,,clinic,
-7.96879575259621,12.6115143194149,3237660810,node,9,,clinic,,,,,27502619,,,,683f33f24300488a81198ac3f0a02da0,,,,,,0,1,,2014/12/16 09:59:07,,,,,Centre Medical Safari,,Makank40,,,,,,
-8.01777414650516,12.6364260900179,2163840260,node,9,,clinic,,,,,37366198,,,,4b71fd11cd974580b07eb01df9c05f7e,,,,,,0,2,,2016/02/22 12:50:53,,,,,Clinique Médicale DEFI,,Mamery KANE,,,,,,
-7.96661511666659,12.6039835985087,5477776322,node,6,,clinic,,,,,57175393,,,,e5ff467e0a924e588931f25077eff99a,,,,,,0,1,,2018/03/14 11:36:47,,,,,,,Aboubacar m BARRY,,,,,,
-7.92517054496804,12.588702383195,3386406418,node,12,,doctors,,,,,71225528,,,,6205755f89cd4a30bdf7bba0bfced31d,,,,,,0,2,,2019/06/13 16:47:26,,,,,Clinique Médical Le Bonheur,,mapman44,,,,,doctor,
,,93578349,way,15,,clinic,,,,,92452531,,,,37fc4dbb39554b45895b804821879d9d,,,,"1st OSM contributor; OMS Survey",,0,8,,2020/10/14 06:36:26,,,,,Centre de santé de référence Major Moussa Diakité de Kati,,Greg_Rose,,,,,clinic,
