pam_caseid,year_count,cowcode,country,country_accorddate,accord name,year,war_start,cease_date,amnest_prov,amnest_init,amnest_implem,amnest_rev,addloss_prov,addloss_init,addloss_implem,addloss_rev,arbint_prov,arbint_init,arbint_implem,arbint_revers,bound_prov,bound_init,bound_implem,bound_revers,cease_prov,cease_init,cease_implem,cease_revers,child_prov,child_init,child_implem,child_revers,citiz_prov,citiz_init,citiz_implem,citiz_revers,civadm_prov,civadm_init,civadm_impem,civadm_revers,const_prov,const_init,const_implem,const_revers,cultr_prov,cultr_init,cultr_implem,cultr_revers,decen_prov,decen_init,decen_implem,decen_revers,demob_prov,demob_init,demob_implem,demob_revers,develop_prov,develop_init,develop_iplem,develop_revers,disarm_prov,disarm_init,disarm_implem,disarm_revers,disput_prov,disput_init,dispute_implem,dispute_revers,donor_prov,donor_init,donor_implem,donor_revers,educat_prov,educat_init,educat_implem,educat_revers,elect_prov,elect_init,elect_implem,elect_revers,embarg_prov,embarg_init,embarg_implem,embarg_revers,ethrel_prov,ethrel_init,ethrel_implem,ethrel_revers,exerefm_prov,exerefm_init,exerefm_implem,exerefm_revers,humrts_prov,humrts_init,humrts_implem,humrts_revers,idps_prov,idps_init,idps_implem,idps_revers,indmin_prov,indmin_init,indmin_implem,indmin_revers,indrefer_prov,indrefer_init,indrefer_implem,indrefer_revers,judrfm_prov,judrfm_init,judrfm_implem,judrfm_revers,legref_prov,legref_init,legref_implem,legref_revers,media_prov,media_init,media_implem,media_revers,milrfm_prov,milrfm_init,milrfm_implem,milrfm_revers,minrts_prov,minrts_init,minrts_implem,minrts_revers,natres_prov,natres_init,natres_implem,natres_revers,offlan_prov,offlan_init,offlan_implem,offlan_revers,pargrp_prov,pargrp_init,pargrp_implem,pargrp_revers,polrfm_prov,polrfm_init,polrfm_implem,polrfm_revers,powtran_prov,powtran_init,powtran_implem,powtran_revers,prisr_prov,prisr_init,prisr_implem,prisr_revers,ratm_prov,ratm_init,ratm_implem,ratm_revers,refug_prov,refug_init,refug_implem,refug_revers,regpkf_prov,regpkf_init,regpkf_implem,regpkf_revers,reint_prov,reint_init,reint_implem,reint_revers,repar_prov,repar_init,repar_implem,repar_revers,roa_prov,roa_init,roa_implem,roa_revers,selfd_prov,selfd_init,selfd_implem,selfd_revers,terpow_prov,terpow_init,terpow_implem,terpow_revers,time_prov,time_init,time_implem,time_revers,truth_prov,truth_init,truth_implem,truth_revers,unpkf_prov,unpkf_init,unpkf_implem,unpkf_revers,untran_prov,untran_init,untran_implem,untran_revers,verify_prov,verify_init,verify_implem,verify_revers,with_prov,with_init,with_implem,with_revers,women_prov,women_init,women_implem,women_revers,total_prov,total_implem_points,agg_implem_score
20,1,540,Angola,Angola (11/15/1994),"Lusaka Protocol, Nov 15 1994",1994,11-Nov-75,15-Nov-94,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,1,1.851852
5,1,344,Croatia,Coratia (11/12/1995),"Erdut Agreement, Nov 12 1995",1995,01-Aug-91,12-Nov-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,3.333333
13,1,451,Sierra Leone,Sierra Leone (11/30/1996),"Abidjan Peace Agreement , Nov 30 1996",1997,01-Mar-91,30-Nov-96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,24,5,6.944445
13,2,451,Sierra Leone,Sierra Leone (11/30/1996),"Abidjan Peace Agreement , Nov 30 1996",1998,01-Mar-91,30-Nov-96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,24,5,6.944445
17,1,517,Rwanda,Rwanda (8/4/1993),"Arusha Accord – 4 August 1993, Aug 04 1993",1993,03-Oct-90,29-Mar-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,3,0,0,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,26,8,10.25641
31,1,840,Philippines,Philippines (9/2/1996),"Mindanao Final Agreement, Sep 02 1996",1996,18-Mar-68,07-Nov-93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,24,12,16.66667
8,1,432,Mali,Mali (1/6/1991),"National Pact, Jan 06 1991",1992,01-Oct-90,06-Jan-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,10,20.83333
27,1,750,India,India (2/20/1993),"Memorandum of Settlement (Bodo Accord) , Feb 20 1993",1993,01-Mar-89,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,23.52941
27,2,750,India,India (2/20/1993),"Memorandum of Settlement (Bodo Accord) , Feb 20 1993",1994,01-Mar-89,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,23.52941
27,3,750,India,India (2/20/1993),"Memorandum of Settlement (Bodo Accord) , Feb 20 1993",1995,01-Mar-89,,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,23.52941
