PCode,REGION,DISTRICT,Code_CSREF,STRUCTURE,PCODE2,TYPE,DATE OUVERTURE,NBRE VILLAGE,DISTANCE,ACCESSIBILITE,Source,obs,Longitude,Latitude
ML07R03C001,GAO,BOUREM,ML07R03,ABAKOIRA,ML07R03C001,CSCOM,1-Jan-2010,2,30,OUI,OMS Survey,,-1.570915521,17.0321276
ML09R02C001,KIDAL,ABEIBARA,ML09R02,ABEIBARA CENT0AL,ML09R02C001,CSCOM,1-Jan-1999,12,5462,NON,OMS Survey,,1.825452982,19.28785387
ML09R02C000,KIDAL,ABEIBARA,ML09R02,ABEIBARA CSREF,ML09R02C000,CSRef,1-Jan-2000,0,150,,OMS Survey,,1.825452982,19.28785387
ML08R02C001,BAMAKO,COMMUNE2,ML08R02,ABOSAC,ML08R02C001,CSCOM,11-Nov-2011,4,3,OUI,OMS Survey,,-7.98637,12.63364
ML06R01C001,TOMBOUCTOU,TOMBOUCTOU,ML06R01,ACHARANE,ML06R01C001,CSCOM,1-Nov-1999,3,200,OUI,OMS Survey,,-3.295802755,20.01026811
ML08R05C001,BAMAKO,COMMUNE5,ML08R05,ADASCO,ML08R05C001,CSCOM,11-Nov-2011,1,2,OUI,OMS Survey,,-7.97629,12.59426
ML02R06C001,KOULIKORO,KATI,ML02R06,ADEKEN,ML02R06C001,CSCOM,1-Jan-2003,2,,OUI,OMS Survey,,-8.000214722,12.56666944
ML06R03C001,TOMBOUCTOU,GOUNDAM,ML06R03,ADERMALANE,ML06R03C001,CSCOM,7-Jul-2004,23,0,OUI,OMS Survey,,-4.154650274,16.65413098
,TOMBOUCTOU,Gourma-Rharous,,ADIORA,0,CSCOM,,,,,Cluster Nutrition,,-1.249261,16.504318
ML09R01C001,KIDAL,KIDAL,ML09R01,AGHABO,ML09R01C001,CSCOM,1-Jan-2004,6,45,NON,OMS Survey,,1.290899981,18.12639998
ML06R01C002,TOMBOUCTOU,TOMBOUCTOU,ML06R01,AGLAL,ML06R01C002,CSCOM,1-Jul-1999,9,45,OUI,OMS Survey,,-2.683671397,16.61434598
ML06R01C003,TOMBOUCTOU,TOMBOUCTOU,ML06R01,AGOUNI,ML06R01C003,CSCOM,1-Dec-1999,4,35,OUI,OMS Survey,,-2.997222148,17.05416685
ML09R01C002,KIDAL,KIDAL,ML09R01,ALIOU,ML09R01C002,CSCOM,1-Jan-2001,13,3,NON,OMS Survey,,1.408559482,18.42736573
ML07R01C001,GAO,GAO,ML07R01,ALJANABANDJA,ML07R01C001,CSCOM,1-Jan-2000,1,2,OUI,OMS Survey,,-0.027067825,16.26652058
,TOMBOUCTOU,Goundam,,ALJOUNOUB,0,CSCOM,,,,,Cluster Nutrition,Non localise,,
ML02R08C001,KOULIKORO,NARA,ML02R08,ALLAHINA,ML02R08C001,CSCOM,1-Jan-2005,12,210,OUI,OMS Survey,,-8.740041153,15.2235941
ML07R03C002,GAO,BOUREM,ML07R03,ALMOUSTARAT,ML07R03C002,CSCOM,1-Jan-2009,20,80,OUI,OMS Survey,,0.2513,17.47898
ML05R06C001,MOPTI,KORO,ML05R06,AMBA,ML05R06C001,CSCOM,29-Nov-2005,11,,,OMS Survey,,-2.97185,14.79329
ML01R01C001,KAYES,KAYES,ML01R01,AMBIDEDI POSTE,ML01R01C001,CSCOM,14-Dec-2006,7,45,NON,OMS Survey,,-11.79345491,14.58993047
ML01R01C002,KAYES,KAYES,ML01R01,AMBIDEDI-KORE,ML01R01C002,CSCOM,23-Jan-1999,7,45,NON,OMS Survey,,-11.75116,14.7936
ML05R08C001,MOPTI,YOUWAROU,ML05R08,AMBIRI,ML05R08C001,CSCOM,12-May-1999,23,,,OMS Survey,,-4.211857274,15.51212872
ML05R08C002,MOPTI,YOUWAROU,ML05R08,AMBIRI-HABE,ML05R08C002,CSCOM,12-May-1999,23,24,OUI,OMS Survey,,-4.211857274,15.51212872
ML07R04C001,GAO,MENAKA,ML07R04,ANDERAMBOUKANE,ML07R04C001,CSCOM,18-Jan-2001,16,100,OUI,OMS Survey,,3.022724233,15.42345297
ML06R05C001,TOMBOUCTOU,NIAFUNKE,ML06R05,ANDIAM,ML06R05C001,CSCOM,1-Jan-2006,28,0,NON,OMS Survey,,-3.993564274,15.92734023
ML09R01C003,KIDAL,KIDAL,ML09R01,ANEFIF,ML09R01C003,CSCOM,1-Jan-2001,7,107,NON,OMS Survey,,0.603067,18.042588
ML08R06C001,BAMAKO,COMMUNE6,ML08R06,ANIASCO,ML08R06C001,CSCOM,1-Jan-1992,1,8,OUI,OMS Survey,,-7.9623,12.56532
ML07R04C002,GAO,MENAKA,ML07R04,ANOUZEGRENE,ML07R04C002,CSCOM,1-Feb-2001,10,80,OUI,OMS Survey,,2.49717,15.53711
ML07R02C000,GAO,ANSONGO,ML07R02,ANSONGO CSREF,ML07R02C000,CSRef,1-Jan-1996,0,100,,OMS Survey,,0.501388889,15.66472222
ML01R01C003,KAYES,KAYES,ML01R01,AOUROU,ML01R01C003,CSCOM,6-Dec-1997,5,70,OUI,OMS Survey,,-11.58909966,14.96089572
ML06R05C002,TOMBOUCTOU,NIAFUNKE,ML06R05,ARABEBE,ML06R05C002,CSCOM,1-Jun-2004,6,40,OUI,OMS Survey,,-3.804277,16.078773
,TOMBOUCTOU,Goundam,,ARATENE,0,CSCOM,,,,,Cluster Nutrition,,-4.584444444,16.35638889
ML06R02C001,TOMBOUCTOU,DIRE,ML06R02,ARHAM,ML06R02C001,CSCOM,25-Jun-2008,1,16,OUI,OMS Survey,,-3.374444523,16.3791676
ML06R01C004,TOMBOUCTOU,TOMBOUCTOU,ML06R01,AROUANE,ML06R01C004,CSCOM,1-Nov-1999,2,,,OMS Survey,,-3.219085648,18.82916123
,BAMAKO,COMMUNE1,,ASACKO NORD,0,CSCOM,,,,,Cluster Nutrition,,,
